pais,trimestre,anio,producto,cantidad
Guatemala,2,2023,Otros,23.614234996461
Guatemala,2,2023,Total,344.94508348240703
Guatemala,1,2023,Refrescos,267.306079861882
Guatemala,1,2023,Agua,13.260231000072
Guatemala,1,2023,Otros,22.639770430830996
Guatemala,1,2023,Total,303.206081292785
Guatemala,4,2022,Refrescos,271.248455513062
Guatemala,4,2022,Agua ,10.865409000012
Guatemala,4,2022,Otros,20.594688277724003
Guatemala,4,2022,Total,302.708552790798
Guatemala,3,2022,Refrescos,266.2199307487
Guatemala,3,2022,Agua ,4.701830000004
Guatemala,3,2022,Otros,34.848973996402
Guatemala,3,2022,Total,305.770734745106
Guatemala,2,2022,Refrescos,261.01889789106303
Guatemala,2,2022,Agua ,11.047229000052
Guatemala,2,2022,Otros,23.426085912168006
Guatemala,2,2022,Total,295.49221280328305
Guatemala,1,2022,Refrescos,238.52055104401495
Guatemala,1,2022,Agua,11.690279999808
Guatemala,1,2022,Otros,19.481540747857007
Guatemala,1,2022,Total,269.69237179168
Guatemala,4,2021,Refrescos,250.163405762362
Guatemala,4,2021,Agua ,8.465896000238
Guatemala,4,2021,Otros,19.957915241619997
Guatemala,4,2021,Total,278.58721700422
Guatemala,3,2021,Refrescos,229.308909744039
Guatemala,3,2021,Agua ,10.731820999752
Guatemala,3,2021,Otros,22.008374928516
Guatemala,3,2021,Total,262.049105672307
Guatemala,2,2021,Refrescos,226.731793904211
Guatemala,2,2021,Agua ,10.736065999512
Guatemala,2,2021,Otros,17.965136842981
Guatemala,2,2021,Total,255.432996746704
Guatemala,1,2021,Refrescos,216.32425384993297
Guatemala,1,2021,Agua,9.21440699886
Guatemala,1,2021,Otros,13.614826288353
Guatemala,1,2021,Total,239.15348713714596
Guatemala,4,2020,Refrescos,
Guatemala,4,2020,Agua ,
Guatemala,4,2020,Otros,
Guatemala,4,2020,Total,
Guatemala,3,2020,Refrescos,
Guatemala,3,2020,Agua ,
Guatemala,3,2020,Otros,
Guatemala,3,2020,Total,
Guatemala,2,2020,Refrescos,
Guatemala,2,2020,Agua ,
Guatemala,2,2020,Otros,
Guatemala,2,2020,Total,
Guatemala,1,2020,Refrescos,
Guatemala,1,2020,Agua,
Guatemala,1,2020,Otros,
Guatemala,1,2020,Total,
Guatemala,4,2019,Refrescos,
Guatemala,4,2019,Agua,
Guatemala,4,2019,Otros,
Guatemala,4,2019,Total,
Guatemala,3,2019,Refrescos,
Guatemala,3,2019,Agua ,
Guatemala,3,2019,Otros,
Guatemala,3,2019,Total,
Guatemala,2,2019,Refrescos,
Guatemala,2,2019,Agua ,
Guatemala,2,2019,Otros,
Guatemala,2,2019,Total,
Guatemala,1,2019,Refrescos,
Guatemala,1,2019,Agua ,
Guatemala,1,2019,Otros,
Guatemala,1,2019,Total,
Guatemala,4,2018,Refrescos,
Guatemala,4,2018,Agua,
Guatemala,4,2018,Otros,
Guatemala,4,2018,Total,
Guatemala,3,2018,Refrescos,
Guatemala,3,2018,Agua,
Guatemala,3,2018,Otros,
Guatemala,3,2018,Total,
Guatemala,2,2018,Refrescos,
Guatemala,2,2018,Agua,
Guatemala,2,2018,Otros,
Guatemala,2,2018,Total,
Guatemala,1,2018,Refrescos,
Guatemala,1,2018,Agua  ,
Guatemala,1,2018,Otros,
Guatemala,1,2018,Total,
Guatemala,1,2018,Refrescos,
Guatemala,4,2017,Agua  ,
Guatemala,4,2017,Otros,
Guatemala,4,2017,Total,
Colombia,2,2024,Refrescos,475.211928827293
Colombia,2,2024,Agua,95.693615843624
Colombia,2,2024,Otros,58.743890321898
Colombia,2,2024,Total,629.6494349928149
Colombia,1,2024,Refrescos,479.1831223331691
Colombia,1,2024,Agua,109.06193379188099
Colombia,1,2024,Otros,65.504826568474
Colombia,1,2024,Total,653.749882693524
Colombia,4,2023,Refrescos,513.5
Colombia,4,2023,Agua,106.6
Colombia,4,2023,Otros,68.2
Colombia,4,2023,Total,688.2
Colombia,3,2023,Refrescos,508.220624520761
Colombia,3,2023,Agua,115.360702966622
Colombia,3,2023,Otros,77.100379490876
Colombia,3,2023,Total,700.6817069782591
Colombia,2,2023,Refrescos,472.7141481349329
Colombia,2,2023,Agua,98.251715145201
Colombia,2,2023,Otros,79.414513719866
Colombia,2,2023,Total,650.380377
Colombia,1,2023,Refrescos,448.1212275915771
Colombia,1,2023,Agua,91.578045261947
Colombia,1,2023,Otros,77.606232146476
Colombia,1,2023,Total,617.3055050000002
Colombia,4,2022,Refrescos,481.40047566316105
Colombia,4,2022,Agua ,94.174690235058
Colombia,4,2022,Otros,70.371772101781
Colombia,4,2022,Total,645.946938
Colombia,3,2022,Refrescos,458.50819565990105
Colombia,3,2022,Agua ,93.804978244299
Colombia,3,2022,Otros,75.79850309579999
Colombia,3,2022,Total,628.1116770000001
Colombia,2,2022,Refrescos,464.72128955370204
Colombia,2,2022,Agua ,90.919266264247
Colombia,2,2022,Otros,80.14964437058603
Colombia,2,2022,Total,635.790200188535
Colombia,1,2022,Refrescos,429.742201982114
Colombia,1,2022,Agua,82.59586448933001
Colombia,1,2022,Otros,81.528640528556
Colombia,1,2022,Total,593.866707
Colombia,4,2021,Refrescos,455.1555214649011
Colombia,4,2021,Agua ,93.849821394033
Colombia,4,2021,Otros,66.91400114085799
Colombia,4,2021,Total,615.9193439997921
Colombia,3,2021,Refrescos,408.7182843663569
Colombia,3,2021,Agua ,81.950259050661
Colombia,3,2021,Otros,56.847695583748
Colombia,3,2021,Total,547.5162390007658
Colombia,2,2021,Refrescos,344.4804299067277
Colombia,2,2021,Agua ,55.955452959309
Colombia,2,2021,Otros,39.232335131504
Colombia,2,2021,Total,439.6682179975407
Colombia,1,2021,Refrescos,348.7926974490718
Colombia,1,2021,Agua,57.841896054378005
Colombia,1,2021,Otros,36.492586876114
Colombia,1,2021,Total,443.1271803795638
Colombia,4,2020,Refrescos,375.9184643645791
Colombia,4,2020,Agua ,56.545407037762004
Colombia,4,2020,Otros,36.03391686685
Colombia,4,2020,Total,468.4977882691911
Colombia,3,2020,Refrescos,295.654383918248
Colombia,3,2020,Agua ,39.037966061632005
Colombia,3,2020,Otros,26.055877506976
