pais,trimestre,anio,producto,cantidad
Mexico,1,2018,Refrescos,310.1177398760531
Mexico,1,2018,Agua,25.17966315400198
Mexico,1,2018,Garrafón,66.52501371789104
Mexico,1,2018,Otros,28.157591785650986
Mexico,1,2018,Total,429.98000853359713
Mexico,4,2017,Refrescos,333.3954597330093
Mexico,4,2017,Agua,22.707660665707976
Mexico,4,2017,Garrafón,65.53544959272679
Mexico,4,2017,Otros,26.370512665911995
Mexico,4,2017,Total,448.0090826573561
Guatemala,2,2024,Refrescos,45.15763105301995
Guatemala,2,2024,Agua,2.7684776874974992
Guatemala,2,2024,Garrafón,
Guatemala,2,2024,Otros,2.5660105375643374
Guatemala,2,2024,Total,50.49211927808179
Guatemala,1,2024,Refrescos,41.30908922605733
Guatemala,1,2024,Agua,2.350381090997611
Guatemala,1,2024,Garrafón,
Guatemala,1,2024,Otros,2.224789270455657
Guatemala,1,2024,Total,45.8842595875106
Guatemala,4,2023,Refrescos,40.5
Guatemala,4,2023,Agua,2
Guatemala,4,2023,Garrafón, N/A
Guatemala,4,2023,Otros,2
Guatemala,4,2023,Total,44.4
Guatemala,3,2023,Refrescos,41.29869768652127
Guatemala,3,2023,Agua,2.1087009326784756
Guatemala,3,2023,Garrafón,
Guatemala,3,2023,Otros,2.338933652521955
Guatemala,3,2023,Total,45.7463322717217
Guatemala,2,2023,Refrescos,40.50643106567907
Guatemala,2,2023,Agua,1.9975117822741137
Guatemala,2,2023,Garrafón,
Guatemala,2,2023,Otros,2.327176187530822
Guatemala,2,2023,Total,44.83111903548401
Guatemala,1,2023,Refrescos,35.561409364190496
Guatemala,1,2023,Agua,1.3711868211649987
Guatemala,1,2023,Garrafón,
Guatemala,1,2023,Otros,2.2764449238154008
Guatemala,1,2023,Total,39.2090411091709
Guatemala,4,2022,Refrescos,36.007171224000004
Guatemala,4,2022,Agua,1.0936931418879987
Guatemala,4,2022,Garrafón,
Guatemala,4,2022,Otros,2.116973648501999
Guatemala,4,2022,Total,39.21783801439
Guatemala,3,2022,Refrescos,34.063676404489996
