Tiempo,Ingresos totales,Volumen,Ingresos,Cluster
1T 2024,63802.60612148751,332.4884062120228,3398.038463957263,0
4T 2023,66078.0,41.30908922605733,3592.126778354859,0
3T 2023,62853.01085143204,35.5788571802806,37844.23171576212,1
2T 2023,61428.38802000759,409.3763526183607,4883.604340027984,0
1T 2023,57357.3975998808,66.02308985311805,17836.665717467604,0
4T 2022,61209.42790171153,240.14358379299995,2149.545634507352,0
3T 2022,57093.48732772651,29.427387772856203,1088.5587137224495,0
2T 2022,57310.59922378635,10.051025922831435,25958.37440572539,0
1T 2022,51195.45113361231,345.64508734180566,63802.60612148751,1
